Word	Pinyin	CON
京	jing1	4.22
惊	jing1	4.78
晶	jing1	3.68
睛	jing1	5.41
精	jing1	3.44
井	jing3	6.62
颈	jing3	6.68
景	jing3	4.45
警	jing3	4.41
径	jing4	5.35
竞	jing4	4.05
敬	jing4	3.85
境	jing4	4.18
静	jing4	4.47
镜	jing4	6.82
窘	jiong3	4.05
纠	jiu1	3.51
究	jiu1	3.41
揪	jiu1	5.48
久	jiu3	4.1
酒	jiu3	6.82
旧	jiu4	5.38
咎	jiu4	3.13
救	jiu4	5.38
舅	jiu4	6.63
居	ju1	4.38
拘	ju1	4
鞠	ju1	4.53
局	ju2	4.57
桔	ju2	6.55
菊	ju2	6.74
举	ju3	5.53
巨	ju4	4.48
拒	ju4	4.82
具	ju4	3.58
剧	ju4	5.36
惧	ju4	4.43
锯	ju4	5.43
聚	ju4	4.9
踞	ju4	4.89
捐	juan1	5.45
绢	juan4	5.85
撅	jue1	5.3
觉	jue2	3.88
倔	jue2	4.23
掘	jue2	5.86
厥	jue2	3.97
爵	jue2	4.23
蹶	jue2	4.88
嚼	jue2	6
攫	jue2	4.4
军	1-Jun	5.8
君	1-Jun	4.67
菌	1-Jun	5.57
俊	4-Jun	4.49
郡	4-Jun	5.41
卡	ka3	4.97
开	kai1	5.65
揩	kai1	4.51
慨	kai3	3.03
楷	kai3	3.15
刊	kan1	3.78
坎	kan3	5.25
砍	kan3	6.13
看	kan4	6.39
慷	kang1	3.03
糠	kang1	5.78
扛	kang2	5.9
抗	kang4	4.74
炕	kang4	6.39
考	kao3	5.08
拷	kao3	5.15
烤	kao3	6.13
科	ke1	3.56
磕	ke1	5.41
壳	ke2	6.2
渴	ke3	5.74
克	ke4	3.25
刻	ke4	5.16
客	ke4	5.97
课	ke4	5.63
肯	ken3	3.81
垦	ken3	4.6
啃	ken3	6.03
吭	keng1	4.3
坑	keng1	6.51
空	kong1	4.35
孔	kong3	6.29
控	kong4	3.88
抠	kou1	5.3
口	kou3	6.25
叩	kou4	5.56
扣	kou4	5.08
寇	kou4	4.74
枯	ku1	5
哭	ku1	6.11
窟	ku1	5.65
苦	ku3	5.45
库	ku4	5.73
裤	ku4	6.86
夸	kua1	4.97
垮	kua3	4.89
挎	kua4	5.56
胯	kua4	6.32
跨	kua4	5.51
快	kuai4	4.76
筷	kuai4	6.79
宽	kuan1	4.9
款	kuan3	4.95
诓	kuang1	3.69
狂	kuang2	3.81
况	kuang4	3.49
矿	kuang4	5.98
框	kuang4	6.37
亏	kui1	3.68
盔	kui1	6.36
窥	kui1	5.05
愧	kui4	4.05
捆	kun3	5.59
困	kun4	4.67
扩	kuo4	4.65
阔	kuo4	4.22
拉	la1	5.54
腊	la4	5
蜡	la4	6.46
辣	la4	5.97
来	lai2	5.15
赖	lai4	3.72
兰	lan2	5.46
拦	lan2	5.78
栏	lan2	5.79
蓝	lan2	5.46
澜	lan2	4
篮	lan2	5.81
览	lan3	4.63
揽	lan3	4.97
缆	lan3	5.48
懒	lan3	4.54
烂	lan4	5.08
滥	lan4	3.79
郎	lang2	5.59
狼	lang2	6.9
廊	lang2	6.19
朗	lang3	2.98
浪	lang4	6.58
捞	lao1	5.59
劳	lao2	4.08
牢	lao2	4.75
老	lao3	4.65
涝	lao4	4.58
烙	lao4	5.31
